Under 18 years 72,293,812 25.7 74,181,467 24.0 1,887,655 2.6
Under 5 years 19,175,798 6.8 20,201,362 6.5 1,025,564 5.3
5 to 17 years 53,118,014 18.9 53,980,105 17.5 862,091 1.6
18 to 44 years 112,183,705 39.9 112,806,642 36.5 622,937 0.6
18 to 24 years 27,143,454 9.6 30,672,088 9.9 3,528,634 13.0
25 to 44 years 85,040,251 30.2 82,134,554 26.6 –2,905,697 –3.4
45 to 64 years 61,952,636 22.0 81,489,445 26.4 19,536,809 31.5
65 years and over 34,991,753 12.4 40,267,984 13.0 5,276,231 15.1
16 years and over 217,149,127 77.2 243,275,505 78.8 26,126,378 12.0
18 years and over 209,128,094 74.3 234,564,071 76.0 25,435,977 12.2
21 years and over 196,899,193 70.0 220,958,853 71.6 24,059,660 12.2
62 years and over 41,256,029 14.7 49,972,181 16.2 8,716,152, 21.1
